49177.473	11428	-14116	-916	-113	48	54
49177.473	10892	-13988	-988	-83	72	91
49177.473	9748	-12992	-1272	-87	110	40
49177.473	9068	-12660	-1168	-63	-19	21
49177.473	9412	-12764	-1168	-131	-26	1
49177.473	10252	-13440	-1216	-118	-48	10
49177.473	10596	-14188	-1176	-94	31	74
49177.473	11104	-13688	-848	-63	105	60
49177.473	8908	-12896	-1324	-68	33	41
49177.515	9092	-12228	-1300	-108	-64	12
49177.515	10268	-13112	-1052	-141	-61	18
49177.515	10704	-13920	-1024	-106	104	105
49177.515	10976	-13800	-852	-71	74	87
49177.515	9040	-13312	-1288	-86	52	41
49177.515	9288	-12336	-1332	-101	-18	40
49177.515	9600	-13028	-1212	-121	-112	-4
49177.515	11560	-14036	-1156	-134	48	42
49177.515	10416	-14092	-984	-69	35	87
49177.515	9752	-13256	-1128	-89	95	30
49177.525	8984	-12576	-1272	-83	-34	36
49177.525	9832	-12780	-1076	-117	-72	12
49177.525	10840	-13584	-1204	-112	-46	26
49177.525	10520	-14108	-1096	-91	57	88
49177.525	10680	-13484	-872	-63	164	47
49177.525	8812	-13088	-1188	-58	-5	44
49177.525	9456	-12444	-1100	-114	-78	-3
49177.525	10696	-13200	-1184	-116	-88	-18
49177.525	11184	-14080	-1040	-66	88	86
49177.525	10532	-13740	-992	-76	52	65
49177.576	9024	-13260	-1360	-71	30	32
49177.576	9068	-12536	-1348	-58	-18	37
49177.576	10048	-13004	-1268	-107	-74	2
49177.576	11512	-13876	-1128	-100	2	67
49177.576	10820	-13900	-908	-71	89	90
49177.576	9736	-13260	-1188	-62	122	37
49177.576	8804	-12792	-1028	-67	-17	23
49177.576	9844	-12744	-988	-103	-76	17
49177.576	11012	-13468	-1164	-109	-58	10
49177.576	10868	-13904	-1204	-91	30	93
49177.582	10908	-13384	-948	-84	120	49
49177.582	8572	-13224	-1356	-58	13	39
49177.582	9044	-12504	-1376	-119	-72	18
49177.582	10532	-13396	-1288	-102	-30	23
49177.582	11108	-13980	-1080	-110	79	92
49177.582	10936	-13576	-860	-72	55	55
49177.582	8872	-12944	-1268	-87	65	41
49177.582	8892	-12308	-1168	-91	-58	40
49177.582	10020	-13300	-1192	-132	-59	24
49177.582	11800	-14080	-1032	-118	18	82
49177.628	10740	-13868	-812	-62	63	84
49177.628	9612	-13036	-1140	-76	80	58
49177.628	8736	-12856	-1284	-69	-58	34
49177.628	9836	-12936	-1092	-128	-29	34
49177.628	10640	-13876	-1244	-116	-70	44
49177.628	11492	-13844	-1164	-98	107	91
49177.628	10456	-13276	-932	-51	88	75
49177.628	8652	-12692	-1144	-64	-2	65
49177.628	8984	-12772	-960	-104	-66	30
49177.628	10480	-13388	-1028	-93	-17	36
49177.638	11160	-13912	-1168	-108	88	114
49177.638	11172	-13620	-832	-64	92	85
49177.638	9108	-13012	-1284	-61	50	57
49177.638	8912	-12384	-1340	-115	-45	17
49177.638	9784	-13820	-1172	-102	-77	15
49177.638	11796	-14076	-936	-122	97	83
49177.638	10568	-13820	-1104	-83	42	83
49177.638	9372	-12768	-1200	-84	78	38
49177.638	8864	-12292	-1148	-61	-23	45
49177.638	9584	-12936	-1332	-107	-69	-3
49177.689	11104	-14036	-1016	-118	-20	56
49177.689	10744	-14340	-984	-81	63	106
49177.689	10064	-13252	-948	-68	97	38
49177.689	8736	-12692	-1196	-73	-63	29
49177.689	9728	-12600	-1068	-136	-78	-16
49177.689	10208	-13832	-1432	-153	-88	4
49177.689	11124	-14216	-1192	-102	63	64
49177.689	10356	-13624	-1092	-71	95	50
49177.689	9032	-12760	-1292	-68	58	25
49177.689	8932	-12372	-1148	-118	-64	2
49177.699	10208	-13280	-1120	-126	-47	17
49177.699	10932	-13960	-1124	-98	51	87
49177.699	10216	-13748	-992	-84	58	67
49177.699	9464	-12776	-1300	-68	59	19
49177.699	9352	-12444	-1284	-107	-15	16
49177.699	10104	-13244	-1180	-113	-56	5
49177.699	11108	-14236	-1112	-101	20	48
49177.699	10264	-14104	-1068	-49	65	51
49177.699	9648	-13036	-1332	-56	95	8
49177.699	9084	-12440	-1232	-60	-35	3
49177.717	9708	-12580	-1096	-127	-46	-19
49177.717	10868	-13452	-1284	-92	-59	9
49177.717	10328	-14112	-996	-108	67	81
49177.717	10908	-13588	-700	-51	141	38
49177.717	8672	-13016	-1228	-54	39	27
49177.717	9484	-12048	-1280	-95	-65	19
49177.717	10336	-13244	-1120	-103	-82	-2
49177.717	11668	-14096	-864	-98	85	64
49177.717	10260	-14180	-1052	-72	64	76
49177.717	9384	-13292	-1168	-94	83	35
49177.755	9272	-12752	-1196	-59	-3	22
49177.755	9972	-12692	-1024	-102	-79	13
49177.755	10852	-13496	-1104	-127	-35	33
49177.755	10652	-14052	-1048	-71	56	109
49177.755	9892	-13132	-1088	-76	156	71
49177.755	8700	-12764	-1376	-62	-11	47
49177.755	9572	-12524	-1168	-117	-51	23
49177.755	11216	-13272	-1160	-112	-70	15
49177.755	10564	-14120	-1128	-95	58	89
49177.755	11072	-13672	-896	-90	129	66
49177.766	8612	-13328	-1332	-53	19	45
49177.766	9248	-12136	-1164	-104	-32	23
49177.766	10388	-13108	-1376	-105	-108	5
49177.766	11768	-14100	-980	-90	75	69
49177.766	10800	-14048	-872	-83	80	101
49177.766	8980	-13328	-1248	-49	89	67
49177.766	9020	-12796	-1172	-72	-12	33
49177.766	9892	-12936	-1228	-107	-56	29
49177.766	11244	-13864	-1060	-120	-38	34
49177.766	11644	-13940	-920	-75	108	96
49177.808	10400	-13668	-736	-45	123	82
49177.808	8396	-13012	-1184	-59	27	67
49177.808	8952	-12960	-1292	-72	-61	19
49177.808	10788	-13324	-1096	-85	-24	-1
49177.808	11348	-13600	-992	-76	48	86
49177.808	10472	-13280	-980	-99	87	66
49177.808	8680	-12852	-1308	-64	54	42
49177.808	8732	-12656	-1276	-64	20	24
49177.808	9912	-13128	-1208	-135	-79	-8
49177.808	11652	-13896	-1184	-107	65	86
49177.868	10908	-13880	-596	-75	20	86
49177.868	9396	-13152	-1256	-76	125	56
49177.868	8616	-12556	-1288	-59	-9	35
49177.868	9064	-12916	-1084	-129	-38	-8
49177.868	11212	-13308	-1120	-123	-80	-6
49177.868	10412	-14024	-1272	-108	52	99
49177.868	11244	-13396	-540	-90	124	50
49177.868	8208	-13612	-1392	-44	22	30
49177.868	8760	-12092	-1264	-95	-36	8
49177.868	9984	-13208	-1188	-113	-108	-47
49177.894	11908	-13940	-1092	-98	65	65
49177.894	11172	-13788	-864	-99	76	76
49177.894	9580	-13244	-772	-72	131	48
49177.894	8320	-12788	-1016	-62	-33	24
49177.894	9468	-12556	-1140	-120	-88	-14
49177.894	10956	-13732	-1292	-95	-50	18
49177.894	11428	-13688	-1068	-83	58	73
49177.894	10412	-13236	-1188	-68	142	51
49177.894	8676	-12848	-1248	-66	-8	24
49177.894	8832	-12744	-1192	-125	-79	-4
49177.985	10472	-13536	-1284	-109	-63	-5
49177.985	10904	-13980	-1156	-96	72	97
49177.985	11644	-13292	-832	-69	128	59
49177.985	9044	-12968	-1208	-67	32	49
49177.985	8892	-12220	-1236	-127	-20	21
49177.985	9572	-13336	-1288	-134	-110	-11
49177.985	11360	-14156	-1032	-105	94	70
49177.985	11112	-13712	-872	-88	56	84
49177.985	9652	-13016	-1028	-70	55	34
49177.985	9292	-12468	-1276	-70	-25	40
49178.048	9348	-13172	-1336	-112	-46	10
49178.048	10920	-13964	-1488	-114	-29	43
49178.048	11036	-14148	-1164	-67	35	105
49178.048	10608	-13080	-1048	-71	136	49
49178.048	9024	-12616	-1232	-62	-8	43
49178.048	9400	-12792	-1008	-125	-59	35
49178.048	10020	-13584	-1336	-112	-36	14
49178.048	10376	-14056	-1296	-75	52	86
49178.048	11084	-13404	-888	-42	120	49
49178.048	9372	-12960	-1388	-48	31	41
49178.076	9412	-12360	-1208	-115	-43	19
49178.076	10092	-13496	-1200	-110	-56	10
49178.076	10852	-14196	-1152	-91	67	96
49178.076	10300	-13728	-1072	-46	78	84
49178.076	9360	-12804	-1272	-85	56	39
49178.076	9440	-12184	-1200	-83	-13	28
49178.076	10072	-13052	-1156	-123	-62	18
49178.076	10740	-14148	-1072	-99	-23	28
49178.076	10272	-13968	-1044	-66	81	70
49178.076	9632	-13172	-1112	-64	83	49
49178.174	9104	-12688	-1212	-85	-20	36
49178.174	9944	-12668	-1168	-122	-60	33
49178.174	10448	-13748	-1288	-118	-63	-4
49178.174	10856	-13920	-1108	-96	102	72
49178.174	9880	-13400	-1140	-53	125	34
49178.174	8764	-12796	-1280	-83	21	10
49178.174	9428	-12468	-1228	-91	-72	25
49178.174	10704	-13396	-1004	-115	-17	-3
49178.174	10908	-13800	-908	-96	99	70
49178.174	10264	-13772	-820	-54	63	42
49178.196	9124	-13044	-1264	-53	25	2
49178.196	9488	-12420	-1304	-99	-19	26
49178.196	10308	-13392	-1108	-134	-61	-8
49178.196	11676	-13956	-888	-94	66	52
49178.196	10388	-14252	-924	-64	42	84
49178.196	8956	-13160	-1192	-79	89	33
49178.196	8904	-12580	-1480	-68	-67	31
49178.196	10032	-12636	-1060	-113	-55	-28
49178.196	11472	-13656	-1192	-109	-65	13
49178.196	10480	-14176	-1156	-97	56	94
49178.302	10452	-13416	-880	-80	139	50
49178.302	8112	-13056	-1384	-61	14	23
49178.302	9312	-12316	-1140	-113	-64	8
49178.302	10856	-13152	-1432	-124	-44	16
49178.302	11732	-13984	-920	-103	86	77
49178.302	10292	-13904	-924	-94	57	64
49178.302	9260	-13208	-1264	-69	108	37
49178.302	8488	-12612	-1252	-93	1	12
49178.302	10112	-12908	-1088	-123	-85	6
49178.302	11396	-13744	-1292	-114	-20	66
49178.345	10996	-13660	-1300	-93	89	73
49178.345	9552	-13088	-1256	-64	96	32
49178.345	8424	-12880	-1180	-76	-21	36
49178.345	9492	-12888	-1180	-113	-80	15
49178.345	10948	-13824	-1100	-127	-32	14
49178.345	11040	-14024	-1232	-79	65	94
49178.345	10708	-13080	-952	-68	152	43
49178.345	8428	-12860	-1288	-78	6	21
49178.345	8804	-12316	-1360	-142	-49	16
49178.345	10384	-13416	-1436	-112	-100	-24
49178.411	11492	-14124	-1128	-111	92	80
49178.411	11272	-13508	-884	-87	49	54
49178.411	9052	-13084	-1152	-64	33	22
49178.411	8984	-12368	-1364	-89	-17	-3
49178.411	9636	-13376	-1216	-106	-70	-2
49178.411	11612	-14276	-1072	-66	-14	51
49178.411	11184	-14008	-1108	-75	108	90
49178.411	10032	-12884	-1132	-64	117	53
49178.411	8848	-12688	-1152	-67	-4	18
49178.411	9524	-12916	-1060	-97	-62	10
49178.472	10548	-13572	-1200	-97	-44	33
49178.472	10832	-14016	-1168	-80	60	94
49178.472	11272	-13272	-868	-52	145	48
49178.472	8932	-12980	-1288	-51	14	42
49178.472	9008	-12400	-1204	-109	-67	35
49178.472	10012	-13540	-1068	-90	-84	-13
49178.472	10696	-14124	-1096	-74	82	100
49178.472	10964	-13528	-780	-63	62	75
49178.472	9416	-12784	-1224	-88	85	56
49178.472	9012	-12256	-1260	-82	-8	32
