40131.296	8916	-14848	-984	-141	19	67
40131.296	8904	-15412	-756	-91	34	70
40131.296	8512	-14716	-760	-109	82	78
40131.296	7568	-13576	-1116	-99	43	85
40131.296	7508	-13540	-1068	-126	-13	40
40131.296	8428	-14256	-1008	-151	-38	38
40131.296	8740	-15320	-988	-108	33	101
40131.296	8876	-15096	-916	-91	109	110
40131.296	7592	-14092	-1036	-94	30	99
40131.312	7760	-13644	-1108	-106	34	56
40131.312	8284	-14272	-916	-145	-44	48
40131.312	8444	-15232	-1180	-120	11	61
40131.312	8792	-15260	-1004	-95	73	78
40131.312	7620	-14516	-1096	-82	52	69
40131.312	7972	-13540	-1252	-105	31	86
40131.312	8152	-13732	-932	-135	-18	54
40131.312	8828	-14744	-1040	-143	30	72
40131.312	8468	-15276	-1080	-96	20	112
40131.312	7940	-14592	-1000	-88	52	98
40131.35	7632	-13676	-1096	-105	3	47
40131.35	7800	-14088	-1044	-159	15	56
40131.35	8856	-14788	-972	-139	13	62
40131.35	8788	-15616	-708	-101	40	58
40131.35	8360	-14960	-896	-94	90	82
40131.35	7408	-13996	-900	-75	39	61
40131.35	7352	-13596	-1212	-148	28	14
40131.35	8388	-14144	-1076	-144	-23	53
40131.35	8900	-14996	-988	-124	18	58
40131.35	8788	-15136	-944	-93	77	56
40131.393	7284	-14288	-1060	-89	79	34
40131.393	7324	-13804	-1200	-95	49	17
40131.393	8000	-14164	-1268	-125	-54	14
40131.393	9272	-14636	-1116	-146	55	54
40131.393	9284	-15184	-856	-123	46	61
40131.393	7856	-14564	-968	-101	83	42
40131.393	7284	-13828	-1012	-91	37	20
40131.393	7332	-14008	-1276	-145	-16	37
40131.393	8888	-14560	-924	-132	12	14
40131.393	9092	-14980	-948	-109	26	29
40131.427	8728	-14436	-936	-112	104	53
40131.427	7392	-13960	-988	-92	16	6
40131.427	7220	-13860	-1072	-133	26	42
40131.427	8320	-14328	-1156	-133	-11	5
40131.427	9008	-15428	-992	-130	25	21
40131.427	9076	-15052	-960	-100	67	61
40131.427	7944	-14140	-904	-85	49	46
40131.427	7280	-13544	-1148	-121	18	-3
40131.427	7596	-13844	-1228	-134	-34	-15
40131.427	8704	-15004	-1140	-118	18	9
40131.471	9224	-15288	-964	-103	46	49
40131.471	8440	-14392	-960	-97	70	49
40131.471	7760	-13652	-1000	-113	49	25
40131.471	7336	-14068	-1084	-158	-14	39
40131.471	8532	-14892	-1192	-134	-2	-1
40131.471	8736	-15620	-1016	-98	29	21
40131.471	8684	-14796	-1060	-91	58	65
40131.471	8260	-13504	-1128	-80	36	49
40131.471	7636	-13628	-1100	-154	33	53
40131.471	8104	-14484	-960	-154	-4	67
40131.515	8388	-15280	-1076	-121	37	64
40131.515	8524	-14792	-948	-89	70	65
40131.515	7948	-13972	-1104	-81	55	54
40131.515	7972	-13444	-1204	-153	29	43
40131.515	8232	-14236	-1160	-153	-10	52
40131.515	8800	-15452	-880	-139	51	72
40131.515	8396	-15404	-908	-123	81	85
40131.515	7768	-14672	-1004	-79	50	54
40131.515	7724	-13512	-1220	-121	-14	23
40131.515	8448	-13628	-1112	-146	-38	22
