#D_ACCELX	#D_ACCELY	#D_ACCELZ	#XTRUE	#YTRUE	#ZTRUE
0.1	-0.06	0.99	0	0	1
0.03	-0.02	0.98	0	0	1
0.03	0	1	0	0	1
0.07	0.02	1.03	0	0	1
-0.05	0	1	0	0	1
0.02	-0.03	0.99	0	0	1
0.04	-0.03	0.97	0	0	1
0.03	0.01	1	0	0	1
0.04	0.01	1.01	0	0	1
0.05	0.02	0.99	0	0	1
-0.01	0.05	0.99	0	0	1
-0.01	-0.07	1.02	0	0	1
-0.02	-0.03	0.96	0	0	1
0.02	0.03	1.02	0	0	1
0.01	0.04	0.98	0	0	1
0.04	0.02	0.94	0	0	1
-0.03	-0.04	1	0	0	1
0.08	0.02	0.95	0	0	1
0.03	0.01	1	0	0	1
0.03	-0.03	0.95	0	0	1
0.04	0.04	1.06	0	0	1
-0.03	-0.04	0.99	0	0	1
0.02	-0.02	0.94	0	0	1
0.04	0.02	1.03	0	0	1
0	0.06	0.97	0	0	1
0.01	-0.02	0.95	0	0	1
0.04	0	0.93	0	0	1
0.03	0.03	0.93	0	0	1
