D_ACCELX,D_ACCELY,D_ACCELZ,XTRUE,YTRUE,ZTRUE,-2.26659942,-3.06918049,-2.26105857,-3.06542063,-2.30497336,-3.03424668
-0.04,0.03,0.96,0,0,1,,-2.978516513,,-3.133252387,,-5.247021106
0.02,-0.04,1.01,0,0,1,,-3.114512478,,-2.974978287,,-5.362269774
-0.01,0.03,1,0,0,1,,-3.046514496,,-3.133252387,,-5.33922004
0.02,0,1.02,0,0,1,,-3.114512478,,-3.06542063,,-5.385319507
-0.01,0,0.93,0,0,1,,-3.046514496,,-3.06542063,,-5.177871905
-0.02,-0.02,0.97,0,0,1,,-3.023848502,,-3.020199459,,-5.270070839
0.03,0,0.99,0,0,1,,-3.137178473,,-3.06542063,,-5.316170306
0.02,-0.03,0.99,0,0,1,,-3.114512478,,-2.997588873,,-5.316170306
-0.04,-0.03,1,0,0,1,,-2.978516513,,-2.997588873,,-5.33922004
0.03,0.05,0.97,0,0,1,,-3.137178473,,-3.178473559,,-5.270070839
0.07,-0.04,0.96,0,0,1,,-3.227842449,,-2.974978287,,-5.247021106
-0.03,0.04,1,0,0,1,,-3.001182507,,-3.155862973,,-5.33922004
-0.09,0.03,1.06,0,0,1,,-2.865186542,,-3.133252387,,-5.477518442
-0.08,-0.05,0.95,0,0,1,,-2.887852536,,-2.952367702,,-5.223971372
0.04,-0.02,1.01,0,0,1,,-3.159844467,,-3.020199459,,-5.362269774
-0.05,0,1.02,0,0,1,,-2.955850519,,-3.06542063,,-5.385319507
-0.01,-0.01,1.02,0,0,1,,-3.046514496,,-3.042810044,,-5.385319507
0.05,-0.04,1,0,0,1,,-3.182510461,,-2.974978287,,-5.33922004
0.02,-0.04,0.99,0,0,1,,-3.114512478,,-2.974978287,,-5.316170306
0.01,0,0.96,0,0,1,,-3.091846484,,-3.06542063,,-5.247021106
-0.03,-0.02,0.96,0,0,1,,-3.001182507,,-3.020199459,,-5.247021106
-0.06,-0.04,0.99,0,0,1,,-2.933184525,,-2.974978287,,-5.316170306
0.1,0.06,1.04,0,0,1,,-3.295840432,,-3.201084144,,-5.431418974
-0.02,-0.01,0.97,0,0,1,,-3.023848502,,-3.042810044,,-5.270070839
0.08,-0.03,1.02,0,0,1,,-3.250508444,,-2.997588873,,-5.385319507
0.03,-0.06,1.01,0,0,1,,-3.137178473,,-2.929757116,,-5.362269774
-0.05,-0.02,1.01,0,0,1,,-2.955850519,,-3.020199459,,-5.362269774
-0.02,-0.07,0.97,0,0,1,,-3.023848502,,-2.90714653,,-5.270070839
-0.03,0,1.02,0,0,1,,-3.001182507,,-3.06542063,,-5.385319507
0,-0.05,1.07,0,0,1,,-3.06918049,,-2.952367702,,-5.500568175
0.01,0.06,0.94,0,0,1,,-3.091846484,,-3.201084144,,-5.200921638
-0.01,0.02,1.01,0,0,1,,-3.046514496,,-3.110641801,,-5.362269774
0.05,-0.1,1,0,0,1,,-3.182510461,,-2.839314773,,-5.33922004
0,-0.02,1.02,0,0,1,,-3.06918049,,-3.020199459,,-5.385319507
-0.01,-0.04,0.98,0,0,1,,-3.046514496,,-2.974978287,,-5.293120573
-0.01,0.02,0.98,0,0,1,,-3.046514496,,-3.110641801,,-5.293120573
0.09,-0.01,0.98,0,0,1,,-3.273174438,,-3.042810044,,-5.293120573
0.01,-0.06,1.03,0,0,1,,-3.091846484,,-2.929757116,,-5.408369241
0.08,-0.06,1.01,0,0,1,,-3.250508444,,-2.929757116,,-5.362269774
0.02,-0.01,0.97,0,0,1,,-3.114512478,,-3.042810044,,-5.270070839
0.07,0,0.95,0,0,1,,-3.227842449,,-3.06542063,,-5.223971372
0.02,-0.07,0.97,0,0,1,,-3.114512478,,-2.90714653,,-5.270070839
-0.01,-0.05,1,0,0,1,,-3.046514496,,-2.952367702,,-5.33922004
-0.02,0.04,1.01,0,0,1,,-3.023848502,,-3.155862973,,-5.362269774
-0.02,0,0.99,0,0,1,,-3.023848502,,-3.06542063,,-5.316170306
-0.01,0.01,0.99,0,0,1,,-3.046514496,,-3.088031216,,-5.316170306
-0.03,0,0.97,0,0,1,,-3.001182507,,-3.06542063,,-5.270070839
0.04,0,0.98,0,0,1,,-3.159844467,,-3.06542063,,-5.293120573
-0.06,-0.03,1.02,0,0,1,,-2.933184525,,-2.997588873,,-5.385319507
0.01,0.03,1.02,0,0,1,,-3.091846484,,-3.133252387,,-5.385319507
-0.05,0,0.99,0,0,1,,-2.955850519,,-3.06542063,,-5.316170306
0.04,0.03,0.95,0,0,1,,-3.159844467,,-3.133252387,,-5.223971372
-0.04,-0.01,0.96,0,0,1,,-2.978516513,,-3.042810044,,-5.247021106
0.01,-0.04,0.97,0,0,1,,-3.091846484,,-2.974978287,,-5.270070839
0.06,0.02,0.95,0,0,1,,-3.205176455,,-3.110641801,,-5.223971372
-0.05,0.01,0.97,0,0,1,,-2.955850519,,-3.088031216,,-5.270070839
0.1,-0.03,0.95,0,0,1,,-3.295840432,,-2.997588873,,-5.223971372
0.05,-0.02,0.99,0,0,1,,-3.182510461,,-3.020199459,,-5.316170306
0.05,0,0.96,0,0,1,,-3.182510461,,-3.06542063,,-5.247021106
0.09,-0.01,0.97,0,0,1,,-3.273174438,,-3.042810044,,-5.270070839
0.01,0.01,1.01,0,0,1,,-3.091846484,,-3.088031216,,-5.362269774
0.05,0.04,0.95,0,0,1,,-3.182510461,,-3.155862973,,-5.223971372
0.03,0.01,0.96,0,0,1,,-3.137178473,,-3.088031216,,-5.247021106
-0.04,-0.06,0.99,0,0,1,,-2.978516513,,-2.929757116,,-5.316170306
0.11,-0.06,1.03,0,0,1,,-3.318506426,,-2.929757116,,-5.408369241
-0.06,-0.02,1.02,0,0,1,,-2.933184525,,-3.020199459,,-5.385319507
-0.02,-0.08,0.99,0,0,1,,-3.023848502,,-2.884535944,,-5.316170306
0.02,-0.02,0.98,0,0,1,,-3.114512478,,-3.020199459,,-5.293120573
-0.06,0.02,1,0,0,1,,-2.933184525,,-3.110641801,,-5.33922004
-0.04,-0.01,0.99,0,0,1,,-2.978516513,,-3.042810044,,-5.316170306
-0.04,0,0.99,0,0,1,,-2.978516513,,-3.06542063,,-5.316170306
0.1,-0.06,0.99,0,0,1,,-3.295840432,,-2.929757116,,-5.316170306
0.03,-0.02,0.98,0,0,1,,-3.137178473,,-3.020199459,,-5.293120573
0.03,0,1,0,0,1,,-3.137178473,,-3.06542063,,-5.33922004
0.07,0.02,1.03,0,0,1,,-3.227842449,,-3.110641801,,-5.408369241
-0.05,0,1,0,0,1,,-2.955850519,,-3.06542063,,-5.33922004
0.02,-0.03,0.99,0,0,1,,-3.114512478,,-2.997588873,,-5.316170306
0.04,-0.03,0.97,0,0,1,,-3.159844467,,-2.997588873,,-5.270070839
0.03,0.01,1,0,0,1,,-3.137178473,,-3.088031216,,-5.33922004
0.04,0.01,1.01,0,0,1,,-3.159844467,,-3.088031216,,-5.362269774
0.05,0.02,0.99,0,0,1,,-3.182510461,,-3.110641801,,-5.316170306
-0.01,0.05,0.99,0,0,1,,-3.046514496,,-3.178473559,,-5.316170306
-0.01,-0.07,1.02,0,0,1,,-3.046514496,,-2.90714653,,-5.385319507
-0.02,-0.03,0.96,0,0,1,,-3.023848502,,-2.997588873,,-5.247021106
0.02,0.03,1.02,0,0,1,,-3.114512478,,-3.133252387,,-5.385319507
0.01,0.04,0.98,0,0,1,,-3.091846484,,-3.155862973,,-5.293120573
0.04,0.02,0.94,0,0,1,,-3.159844467,,-3.110641801,,-5.200921638
-0.03,-0.04,1,0,0,1,,-3.001182507,,-2.974978287,,-5.33922004
0.08,0.02,0.95,0,0,1,,-3.250508444,,-3.110641801,,-5.223971372
0.03,0.01,1,0,0,1,,-3.137178473,,-3.088031216,,-5.33922004
0.03,-0.03,0.95,0,0,1,,-3.137178473,,-2.997588873,,-5.223971372
0.04,0.04,1.06,0,0,1,,-3.159844467,,-3.155862973,,-5.477518442
-0.03,-0.04,0.99,0,0,1,,-3.001182507,,-2.974978287,,-5.316170306
0.02,-0.02,0.94,0,0,1,,-3.114512478,,-3.020199459,,-5.200921638
0.04,0.02,1.03,0,0,1,,-3.159844467,,-3.110641801,,-5.408369241
0,0.06,0.97,0,0,1,,-3.06918049,,-3.201084144,,-5.270070839
0.01,-0.02,0.95,0,0,1,,-3.091846484,,-3.020199459,,-5.223971372
0.04,0,0.93,0,0,1,,-3.159844467,,-3.06542063,,-5.177871905
0.03,0.03,0.93,0,0,1,,-3.137178473,,-3.133252387,,-5.177871905
